,banglaenglishmixed
26668,"['চরম সংকট', 'কানাগলি', 'বন্ধগলি', 'অচল অবস্থা', 'অব্যাহতিহীন অবস্থা', 'কাণাগলি', 'একমুখো রাস্তা', 'কোণঠাসা অবস্থা']"
26669,"['দুর্গম', 'অনতিক্রম্য', 'অগম্য', 'ঘন', 'অলঙ্ঘ্য', 'অলঙ্ঘনীয়', 'অনতিক্রমণীয়', 'দুর্লঙ্ঘ্য', 'দুর্জয়', 'অজেয়']"
26670,[]
26671,"['ন্যায়', 'ন্যায়পরায়ণতা', 'ন্যায়পরতা', 'পক্ষপাতশূন্যতা', 'অপক্ষপাত', 'সমদর্শিতা', 'নিরপেক্ষতা']"
26672,"['নিরপেক্ষ', 'ন্যায়পর', 'ন্যায়সঙ্গত', 'ন্যায়পরায়ণ', 'ন্যায়নিষ্ঠ', 'পক্ষপাতশূন্য', 'অপক্ষপাতী', 'অনপেখ', 'সমদর্শী', 'তটস্থ']"
26673,"['জ্ঞাপন করা', 'প্রদান করা', 'দান করা', 'অংশ প্রদান করা', 'অংশ দেত্তয়া', 'জ্ঞাত করা', 'বিদিত করা', 'ভাগ করে দেত্তয়া']"
26674,"['ঘেরা', 'শূলে চড়াইয়া প্রাণবধ করা', 'অবরুদ্ধ করা', 'বেষ্টিত করা', 'শূলে চড়ান', 'খোঁটা দিয়া ঘেরাত্ত করা']"
26675,"['হানি', 'অনিষ্ট', 'অবনতি', 'ভঙ্গ', 'মান্দ্য', 'বিকলতা', 'বিকলত্ব', 'অধোগতি', 'অধোগমন', 'লোকসান', 'ক্ষতি']"
26676,['হত']
26677,"['নষ্ট করা', 'দুর্বল করা', 'ক্ষতিসাধন করা', 'ভাঙ্গা', 'ক্ষতি করা', 'ভঙ্গ করা', 'পাত করা']"
26678,"['দৃঢ়ভাবে একত্র ঠাসা', 'সঙ্ঘৃষ্ট করা', 'প্রভাব', 'আঘাত', 'সঙ্ঘর্ষ', 'ঠুকা', 'ঠোকা', 'ধকল', 'টক্কর', 'টাল', 'তাল', 'ফল']"
26679,"['বংশধর', 'সন্তান', 'শিশু', 'পাজী সন্তান', 'বাচ্চা শয়তান', 'শয়তানের বাচ্ছা', 'বিচ্ছু', 'শয়তানের বাচ্চা', 'খুদে শয়তান', 'দুষ্টু ছোঁড়া']"
26680,"['নিত্য', 'ধ্রুব', 'অবিকারী', 'বিকাররহিত', 'অপরিবর্তনীয়', 'নির্বিকার', 'পরিবর্তনাতীত']"
26681,['অনাক্রম্য করা']
26682,[]
26683,"['মুক্তি', 'খালাস', 'অনাক্রমত্য', 'অনাক্রম্যতা', 'রেহাই', 'নিরাপত্তা', 'সংক্রমণ-মুক্ততা', 'বিমুক্তি']"
26684,[]
26685,"['অনাক্রম্য', 'দায়মুক্ত', 'রেহাইপ্রাপ্ত', 'নিরাপদ্']"
26686,"['স্থাবর', 'অনড়', 'অচল', 'স্থির', 'অবিচলিত', 'নাড়ানর অসাধ্য', 'গতিহীন', 'নিশ্চল', 'অটল', 'অপরাজেয়', 'অপরিবর্তনীয়']"
26687,"['অভিষিক্ত করা', 'অমর করা', 'অবিনশ্বর করা', 'অবিস্মরণীয় করা', 'চিরস্থায়ী করা', 'অমর করে রাখা']"
26688,"['যশ', 'অক্ষম জীবন', 'অবিনশ্বর', 'অমরত্ব', 'চিরন্তনতা', 'অমরতা', 'অনশ্বরতা', 'অক্ষয়তা', 'চিরস্থায়িত্ব']"
26689,"['অমর', 'অবিনশ্বর', 'অক্ষয়', 'চিরন্তন', 'অমৃত', 'শাশ্বত', 'অব্যয়', 'অনশ্বর', 'অবিনাশী', 'অচু্যত', 'অবিস্মরণীয়', 'চিরজীবী', 'চিরস্থায়ী', 'চিরায়মানা']"
26690,[]
26691,"['নীতিভ্রষ্টতা', 'পাপাচার', '', 'নীতিহীনতা', 'লাম্পট্য', 'ব্যভিচার', 'নীতিবিরুদ্ধতা', 'দুরাচার', 'নীতিভ্রংশ']"
26692,"['অসৎ', 'নীতিবিগর্হিত', 'অসচ্চরিত্র', 'ব্যভিচারী', 'অসাধু', 'কুপুরূষ']"
26693,"['নিশ্চল করা', 'নিশ্চল', 'স্থির', 'গতিহীন করে দেওয়া']"
26694,"['গতিহীনতা', 'নিশ্চলতা', 'বদ্ধতা', 'অনড় অবস্থা', 'অচলতা', 'স্থিরতা', 'নিশ্চেষ্টতা']"
26695,"['গতিহীন', 'অচর', 'স্তিমিত', 'নিশ্চল', 'অচল', 'অবিচলিত', 'স্থিত', 'অগতি', 'গতিশূন্য', 'অচলিষ্ণু', 'স্থির', 'স্থাবর', 'অনড়', 'নাড়ানর অসাধ্য']"
26696,[]
26697,"['আসন্ন', 'আগতপ্রায়', 'অনিবার্য', 'নিকট', 'অপরিহার্য', 'প্রত্যাসন্ন']"
26698,"['পরদেশবাস', 'অভিবাসন']"
26699,"['অভিবাস করা', 'অভিবাসী হত্তয়া', 'প্রবাসী হত্তয়া', 'দেশান্তরী হত্তয়া']"
26700,"['অভিবাসী', 'প্রবাসী']"
26701,"['মগ্ন বা আবিষ্ট অবস্থা', 'নিমজ্জিত অবস্থা', 'নিমজ্জন', 'বিসর্জন', 'ডুব', 'চুবানি', 'চুবুনি', 'ডুবন', 'অভিভূত অবস্থা', 'নিমগ্ন অবস্থা', 'অভিষেক']"
26702,"['চুবান', 'মগ্ন করা', 'চোকান', 'ডোবান', 'চোবান', 'গভীরভাবে ব্যাপৃত করা', 'গভীরভাবে বিজড়িত করা', 'নিযুক্ত করা', 'অভিভূত করা', 'অভিষেক করা']"
26703,"['বিশালতা', 'অসীমতা', 'বিপুলতা', 'বৃহত্ত্ব', 'অসীমত্ব']"
26704,"['নিরতিশয়', '', 'অত্যন্ত', 'খুব']"
26705,"['অপরিমেয়', 'অঢেল', 'অপার', 'অসীম', 'অপরিসীম', 'বিস্তীর্ণ', 'বিশাল', 'বিপুল', 'অগাধ', 'বিরাট', 'প্রকাণ্ড', 'অপ্রমেয়', 'অমেয়', 'অনবধি', 'অনন্ত', 'অতি বৃহৎ']"
26706,"['প্রত্যক্ষভাবে', 'তাৎক্ষণাৎ', 'বিলম্ব না করে', 'অবিলম্বে', 'তখনই', 'অচিরাৎ', 'অচিরে', 'অব্যাজে', 'অগৌণে', 'তত্ক্ষণাৎ', 'এইক্ষণেই', 'অব্যবহিতভাবে', 'অপরোক্ষভাবে', 'প্রত্যক্ষরূপে', 'সরাসরি', 'সোজাসুজি']"
26707,"['আশু', 'অব্যবহিত', 'সরাসরি', 'প্রত্যক্ষ', 'সোজা', 'অকপট', 'সরল', 'বর্তমান', 'বিলম্ববিহীন', 'অবিলম্ব', 'মুখ্য', 'নগদ']"
26708,"['ব্যবধানহীনতা', 'অব্যবহিতত্ব', 'তাৎক্ষণিকতা', 'সরলতা', 'অকপটতা', 'আনন্তর্য']"
26709,"['অপরিপক্কতা', 'কাঁচা বুদ্ধি', 'অপরিণত মন', 'অসম্পূর্ণতা', 'অপক্ব']"
26710,"['অপূর্ণাঙ্গ', 'অপরিণত', 'অপক্ব', 'অপরিপক', 'অকালজাত', 'তরলমতি', 'ঠটে']"
26711,"['অবাস্তব', 'অশরীরী', 'জরুরি নহে এমন', 'গুরুত্বপূর্ণ নহে', 'বাজে']"
26712,[]
26713,"['শুচি', 'অকলঙ্ক', 'পরিপাটি', 'অনিন্দ্য', 'বিশুদ্ধ', 'পবিত্র', 'নিষ্কলঙ্ক', 'নির্মল', 'নিরঁজন', 'দাগশূন্য', 'পরিচ্ছন্ন', 'অনিন্দনীয়', 'নিখুঁত', 'পরিষ্কার', 'নিটোল', 'নির্দোষ']"
26714,"['নকলনবিশ', 'অনুকারক', 'অনুবাদক', 'অনুকারী', 'অনুকরণকারী']"
26715,"['নকল', 'অনুকরণাত্মক', 'আদর্শানুযায়ী', 'অনুকারী', 'অনুকরণমূলক', 'অনুকরণকর', 'অনুকরণপ্রবণ', 'অনুবাদী']"
26716,"['ঝুটো', '', 'অনুকরণ', 'অনুসার', 'অনুকৃতি', 'অনুসরণ', 'কৃত্রিম', 'নকল', 'অনুকার', 'অনুলিপি', 'অনুসৃতি', 'অনুবর্তন', 'অনুবৃত্তি', 'নকলকরণ', 'জালিয়াতি', 'জালকরণ', 'নকল জিনিস', 'প্রতিমূর্তি', 'সদৃশ চিত্র']"
26717,"['নকল করা', 'অনুকরণ করা', 'ভেঙ্গান', 'অনুকৃতি করা', 'জাল করা', 'ভেংচান']"
26718,"['অনুপ্রাণিত করা', 'পান করান', 'আদ্র্র করা', 'গাঢ়ভাবে রঁজিত করা', 'রঁজিত করা', 'সিক্ত করা', 'শোষণ করান']"
26719,"['পান করা', 'হজম করা', 'আত্মভূত করা', 'পান করিয়া লত্তয়া', 'শুষিয়া লত্তয়া', 'শোষণ করা', 'মনোমধ্যে গ্রহণ করা']"
26720,"['মূর্খ', 'আহাম্মক', 'জড়বুদ্ধি লোক', 'মূর্খ লোক', 'বোকা', 'নির্বোধ', 'জড়বুদ্ধি', 'ক্ষণিমতি', 'অল্পবুদ্ধি']"
26721,[]
26722,"['গরমিল', 'অমিল', 'ভারসাম্যহীনতা', 'অসামঞ্জস্য', 'অসাম্য']"
26723,"['কল্পনা করা', 'আন্দাজ করা', 'অলীক কল্পনা করা', 'অসার কল্পনা করা', 'মনে মনে মূর্তিগঠন করা', 'মনে মনে অঙ্কন করা', 'ধারণা করা', 'চিন্তা করা', 'অনুমান করা', 'উদ্ভাবন করা', 'বিবেচনা করা', 'মনে করা', 'ভাবা']"
26724,[]
26725,"['কল্পনাপ্রতিভার বা সৃজনীকল্পনার পরিচযবাহী', 'কল্পনাপ্রিয়', 'কল্পনাবিহারী', 'কল্পনাপ্রবণ', 'কল্পনামূলক', 'কল্পনাশক্তিপূর্ণ', 'বর্ণাঢ্য', 'মনগড়া', 'কল্পনাশক্তিসম্পন্ন', 'কল্পনাপ্রি়', 'কল্পনাত্মক', 'ভাবপূর্ণ', 'জ্বলজ্বলে', 'কল্পিত', 'অপ্রকৃত', 'মিথ্যা', 'ঊর্ধ্বচারী']"
26726,"['মায়া', 'বিকল্পনা', 'কল্পনা-প্রতিভা', 'কল্পনা', 'কল্পনাশক্তি', 'চিন্তা', 'অলীক কল্পনা', 'উদ্ভাবন', 'মনশ্চক্ষু']"
26727,"['কাল্পনিক', 'অবাস্তব', 'কল্পলোক', 'স্বকপোল-কল্পিত', 'কল্পিত', 'কল্পনাময়', 'অলীক', 'মনগড়া', 'কল্পনিক', 'কল্পনাত্মক', 'কপোল-কল্পিত', 'অলীক কল্পনাপূর্ণ', 'অপ্রাকৃত']"
26728,"['কল্পনীয়', 'যা কল্পনা করা যায়', 'চিন্তনীয়', 'কল্প্য', 'বোধ্য']"
26729,"['মানসপ্রতিমাসমূহ', 'চিত্রকল্পসমূহ', 'উপমাদি', 'বাক্যালংকাররাজি', 'চিত্রাবলী', 'কল্পিত মূর্তি', 'কল্পনা', 'কল্পনাপ্রসূত শব্দালঙ্কারসমূহ', 'প্রতিমাসমূহ', 'অপ্রকৃত দৃশ্য', 'বাক্যালঙ্কার']"
26730,"['প্রতিমা গঠন করা', 'অঙ্কিত করা', 'প্রতিবিম্বিত করা', 'কল্পনা করা', 'প্রতিমূর্তি নির্মাণ করা', 'ভাবমূর্তি', 'প্রতিরুপ', 'প্রস্তরমূর্তি', 'প্রতিমা', 'ধারণা', 'বিম্ব', 'প্রতিবিম্ব', 'রুপক', 'প্রতিমূর্তি', 'উপমা', 'স্বরুপ', 'ছায়া', 'প্রতিচ্ছায়া', 'পুত্তলি', 'মনোভাব', 'ভাব', 'সাদৃশ্য']"
26731,[]
26732,"['কৃতী', 'কীর্তিমান', 'বিশ্রুত', 'শ্রুতকীর্তি', 'বিখ্যাত', 'প্রসিদ্ধ', 'সম্মানজনক', 'সুপ্রসিদ্ধ', 'অতি সুবিখ্যাত', 'উজ্জ্বল', 'মহান']"
26733,['অঙ্কনশিল্পী']
26734,"['দৃষ্টান্তযুক্ত', 'ব্যাখ্যামূলক', 'উদাহরণযুক্ত', 'বিশদকারী', 'ব্যাখ্যাকর', 'উদাহরণদায়ক', 'বিশদকারক', 'ব্যাখ্যাকারক', 'অর্থবোধক', 'উদাহরণস্বরূপ']"
26735,"['নিদর্শন', 'ছবি', 'চিত্রালংকরণ', 'চিত্রণ', 'ব্যাখ্যা', 'দৃষ্টান্ত', 'উদাহরণ', 'ছবি আঁকা', 'চিত্র', 'বিশদীকরণ']"
26736,"['চিত্রিত করা', 'ছবি আঁকা', 'ব্যাখ্যা করা', 'বিশদ করা', 'স্পষ্ট করা', 'উদাহরণ দেত্তয়া', 'দৃষ্টান্ত দেত্তয়া']"
26737,"['ভ্রমাত্মক', 'অধরা', 'মায়াময়', 'মায়াত্মক', 'অলীক', 'অস্তিত্বহীন', 'কপট', 'প্রপঁচময়', 'প্রপঁচিত', 'বিভ্রমজনক', 'অবাস্তব', 'অসার', 'অপার্থিব', 'মিথ্যা', 'ছলনাময়', 'প্রতারণাপূর্ণ', 'অসাধ্য', 'মোহ', 'দু:সাধ্য']"
26738,"['বিভ্রম', 'মায়া', 'বিভ্রান্তি', 'অধ্যাস', 'মোহ', 'মোহন', 'প্রপঁচ', 'অক্ষিবিভ্রম', 'মিথ্যা আভাস', 'অজ্ঞান', 'ঘোর', 'জাল']"
26739,"['উদ্ভাসন', 'দীপন', 'প্রতিভাস', 'আলোকপাত', 'আলোকদান', 'আলো', 'আলোক', 'প্রদীপ্তি', 'ব্যাখ্যান', 'রোশনাই', 'আলোকসজ্জা', 'দীপান্বয়', 'আলোকমালা']"
26740,['উদ্ভাসক']
26741,"['জ্বালান', 'উদ্ভাসিত করা', 'প্রদীপ্ত করা', 'উদ্দীপ্ত করা', 'সাজান', 'ব্যাখ্যা করা', 'বুঝাইয়া দেত্তয়া', 'আলো করা', 'আলোকিত করা']"
26742,[]
26743,"['ন্যায়বিরূদ্ধ', 'অযুক্ত', 'অযৌক্তিক']"
26744,"['রোগ', 'অসুস্থ অবস্থা', 'রুগ্রতা', 'পীড়া', 'অসুস্থতা', 'অসুখ', 'অস্বাস্থ্য', 'বিমার', 'আর্তি', 'ব্যামো', 'ব্যাধি', 'অসুখবোধ', 'মন্দতা']"
26745,"['অনাচারী', 'অশিষ্ট', 'অসভ্য', 'অভদ্র', 'অভব্য', 'অনার্য', 'রুঢ়', 'অমার্জিত']"
26746,"['অনক্ষর', 'নিরক্ষর ব্যক্তি', 'অশিক্ষিত ব্যক্তি', 'পঠনাক্ষম ব্যক্তি', 'নিরক্ষর', 'অশিক্ষিত', 'পঠনাক্ষম', 'পড়িতে জানে না এমন', 'বর্ণজ্ঞানহীন', 'জাল্ম', 'গোমূর্খ']"
26747,['নিরক্ষরতা']
26748,"['অবৈধ', 'নিষিদ্ধ', 'বেআইনী', 'বিধিবিরুদ্ধ']"
26749,"['দুর্ভাগ্যগ্রস্ত', 'হতভাগ্য', 'ভাগ্যহীন', 'দুর্ভাগ্য', 'দুরদৃষ্ট', 'আবাগা', 'অসুখী', 'রাহুগ্রস্ত', 'কমবখত', 'কমবক্ত']"
26750,[]
26751,"['অবৈধ', 'জারজ', 'অনুচিত', 'অজন্মা']"
26752,"['অবৈধতা', 'জারজতা', 'জারজত্ব', 'অনৌচিত্য']"
26753,[]
26754,"['অস্পষ্ট', 'দুষ্পাঠ্য', 'অপাঠ্য']"
26755,"['অবৈধভাবে', 'বেআইনীভাবে']"
26756,"['আইনবিরুদ্ধ', '', 'অবৈধ', 'বেআইনী', 'নিষিদ্ধ', 'আইনবিরূদ্ধ', 'বিধিবিরূদ্ধ', 'অকার্যকর']"
26757,[]
26758,"['অসুস্থভাবে', 'ভুল করিয়া', 'অন্যায়ভাবে', 'প্রতিকূলভাবে', 'কষ্টসহকারে', 'মন্দভাবে', 'অশুভ', 'অমঙ্গল', 'বদমাশি', 'দুর্বৃত্তি', 'ক্ষতি', 'অসুস্থ', 'খারাপ', 'মন্দ', 'পীড়িত', 'ব্যাধিগ্রস্ত', 'ব্যায়রামী', 'সুস্থ নহে এমন', 'দু:সাধ্য', 'অমঙ্গলকারী', 'অমঙ্গলকর', 'অমঙ্গলজনক', 'অমঙ্গলসূচক', 'অমঙ্গলের লক্ষণপূর্ণ', 'ক্ষতিকর', 'ক্ষতিকারক', 'বিকৃতমূর্তি', 'দুর্ভাগ্যজনক', 'ভ্রমাত্মক', 'ভ্রমপূর্ণ', 'প্রতিকূল', 'কঠিন', 'অসৎ', 'রোগা', 'খিট্খিটে']"
26759,"['গোধা', 'গোধিকা', 'গোসাপ', 'আমেরিকার খুব বড়ো আকারের গেছো গিরগিটি']"
26760,"['', 'নগণ্য মনে করা', 'পাত্তা না দেওয়া', 'তৃণজ্ঞান করা', 'তুচ্ছ করা', 'উপেক্ষা করা', 'অগ্রাহ্য করা', 'অবজ্ঞা করা', 'তাচ্ছল্য করা', 'তুচ্ছতাচ্ছিল্য করা', 'অবহেলা করা', 'ইচ্ছাকৃতভাবে অগ্রাহ্য করা', 'ইচ্ছাকৃতভাবে তুচ্ছ করা', 'বাতিল করা', 'প্রত্যাখ্যান করা', 'স্বীকার না করা', 'অস্বীকার করা', 'ঠেলা']"
26761,"['অনক্ষর', 'অনবগত ব্যক্তি', 'অবিদিত', 'জ্ঞানহীন', 'অজ্ঞ', 'অনবগত', 'মূর্খ', 'অজ্ঞান', 'অশিক্ষিত', 'আনাড়ি', 'অন্ধ', 'অনুপদিষ্ট', 'আনাড়ী', 'অবিবেকী', 'জ্ঞানরহিত', 'গোমূর্খ', 'মূঢ়', 'অপঠিত', 'জাল্ম', 'অগা', 'অগাকান্ত', 'অগাচণ্ডী', 'অজ্ঞানতাপূর্ণ', 'অচেতন', 'অচৈতন্য', 'বিমূঢ়']"
26762,"['অনবহিত অবস্থা', '', 'অজ্ঞতা', 'অবিদ্যা', 'অজ্ঞানতা', 'মূর্খতা', 'জ্ঞানহীনতা', 'অনভিজ্ঞতা', 'অজ্ঞান', 'শিক্ষাহীনতা', 'অচৈতন্য', 'অবিবেক', 'অপরিচিতি', 'ব্যামোহ', 'জাড্য', 'জড়তা', 'জড়ত্ব', 'বর্বরতা']"
26763,"['ইগনিশন', 'আঁচ', 'ঝলক']"
26764,"['জ্বলে উঠা', 'আঁচ ধরা', 'জ্বালান', 'প্রজ্বালিত করা', 'উত্তেজিত করা', 'উত্সাহিত করা', 'আঁচ দেত্তয়া', 'আগুন ধরা', 'জ্বালা', 'উদ্দীপ্ত হত্তয়া', 'জ্বলে ত্তঠা', 'আঁচ ত্তঠা', 'ঝলকাইয়া ত্তঠা', 'ঝলক দিয়া চলা', 'ধরা']"
26765,"['এস্কিমোসদের গুম্বজাকার কুটির', 'ইগলু', 'এস্কিমোদের ঘর']"
26766,[]
26767,"['শর্ত', 'সাপেক্ষতা', 'সর্ত', 'অনুমান', 'আন্দাজ', 'কল্পনা', 'যদি', 'কিনা', 'যদ্যপি', 'যদি হয়', 'জনি', 'ত']"
26768,[]
26769,['সরল শান্ত ত্ত মনোরম']
26770,"['দেবতা বানানো', 'অত্যধিক শ্রদ্ধা বা আদর দেখানো', 'মাথায় করে রাখা', 'সম্মান করা', 'পূজা করা', 'অত্যন্ত ভালবাসা', 'শ্রদ্ধা করা', 'ভক্তি করা']"
26771,"['প্রতিমাপূজা', 'প্রতিমাউপাসনা', 'পুতুলপূজা', 'পরম ভক্তিশীলতা', 'অত্যন্ত ভক্তি', 'অত্যধিক অনুরাগ', 'অত্যধিক শ্রদ্ধা', 'সাকরোপাসন', 'মূর্তিপূজা', 'সাকার উপাসনা', 'অন্ধ ভক্তি', 'প্রতিমা-পূজা']"
26772,"['প্রতিমাউপাসনাকর', 'পরম ভক্তিশীল', 'প্রতিমাপূজাসম্বন্ধীয়', 'পৌত্তলিক']"
26773,"['প্রতিমা', 'শ্রদ্ধার পাত্র', 'বিগ্রহ', 'প্রতিমূর্তি', 'উপাস্য বস্তু', 'ভক্তির পাত্র', 'দেবমূর্তি', 'উপাস্য দেবদেবী', 'উপাস্য ব্যক্তি', 'ভালবাসা পাত্র', 'পরম ভক্তির পাত্র', 'ঠাকুর', 'অর্চা']"
26774,"['অলসভাবে', 'অনর্থক', 'বৃথা', 'ব্যর্থ', 'বিফলে']"
26775,"['আলসেমি', 'কুঁড়েমি', 'আলস্য', 'অলসতা', 'আল্সেমি', 'নৈষ্কর্ম্য', 'নিষ্ক্রিয়তা', 'কর্মহীনতা', 'নিশ্চেষ্টতা', 'কুড়েমি']"
26776,"['অলস হত্তয়া', 'আলস্যে কাটান', 'অলস করা', 'বৃথা নষ্ট করা', 'অলস', 'কর্মহীন', 'কুঁড়ে', 'বেকার', 'অমূলক', 'অকার্যকর', 'তুচ্ছ', 'শ্রমবিমুখ', 'অকর্মা', 'অনাবশ্যক', 'নিরর্থক']"
26777,[]
26778,"['ক্যাবলা', 'আহাম্মক', 'মূর্খ', 'মূর্খবৎ', 'ডাহা মূর্খতাপূর্ণ', 'মূর্খলোকসম্বন্ধীয়', 'মূর্খলোকসদৃশ', 'নির্বোধ']"
26779,"['আহাম্মক', 'মূর্খ', 'গবেট', 'জড়বুদ্ধি ব্যক্তি', 'জড়ধী', 'হাবা', 'মূর্খ লোক', 'ডাহা মুর্খ লোক', 'বুদ্ধিহীন লোক', 'নির্বোধ', 'বোকা', 'গাধা', 'বুদ্ধু']"
26780,"['একমাত্র', 'স্বকীয়', 'অদ্বিতীয়', 'খেয়ালী', 'মেজাজের বৈশিষ্ট্যগত', 'মেজাজি', 'একক']"
26781,"['কোনো লোকের চিন্তা', 'নিজস্ব ধরন', 'বিশেষ স্বভাব', 'প্রকৃতি বিশিষ্টতা', 'প্রকাশভঙ্গির বৈশিষ্ট্য', 'মানসিক গঠন', 'মেজাজ', 'মেজাজের বৈশিষ্ট্য']"
26782,"['বাগ্বৈশিষ্ট্যসম্মত', 'কথ্য', 'বাগ্বৈশিষ্ট্যগত', 'বাগ্ধারাগত', 'ইডিত্তম্যাটিক', 'কোন ভাষায় রীতিসিদ্ধ', 'ভাব-ব্যঁজক']"
26783,"['বাগ্ধারা', 'উপভাষা', 'ইডিয়ম', 'বাক্প্রণালী', 'বাগ্বৈশিষ্ট্য', 'লবজ', 'বুলি', 'ভাষা']"
26784,"['মূর্খতা', 'জড়তা', 'ডাহা মূর্খতা', 'জড়ত্ব', 'ক্ষীণমতি', 'নির্বোধিতা', 'বোকামি']"
26785,"['অধিবিদ্যা', 'ভাবাদর্শ', 'চিন্তাধারা', 'ভাবতত্ত্ব', 'জ্ঞানতত্ত্ব', 'বিবেচনার ধারা', 'ভাবপ্রধান চিন্তা', 'অবাস্তব চিন্তা', 'চিন্তাপ্রণালী', 'মতবিজ্ঞান', 'কাল্পনিক যুক্তি']"
26786,"['মতাদর্শভিত্তিক', 'ভাবাদর্শগত', 'ভাবপ্রধান', 'ভাবগত', 'উচ্চাদর্শী', 'ভাবতত্ত্ব সংক্রান্ত', 'অধিবিদ্যা সংক্রান্ত', 'ভাবমূলক', 'বিচারধারাত্মক', 'বিচারধারাগত']"
26787,"['ব্যক্তিগত পরিচয়', 'একতা', 'একত্ব', 'অভিন্নতা', 'সমানতা', 'অভেদ', 'ব্যক্তিত্ব', 'ব্যক্তিতা', 'বিশেষ', 'একরূপতা']"
26788,"['একই বলে মনে করা', 'অভিন্নতা বা সাদৃশ্য প্রমাণ করা', 'সনাক্ত করা', 'নিশানদিহি করা', 'প্রমাণ করা', 'নির্ণয় করা', 'নির্ধারণ করা', 'নির্দিষ্ট করা', 'নিরূপণ করা', 'অভিন্নরুপে গণ্য করা', 'অভিন্ন করা', 'চিনা', 'চেনা', 'একরূপ করা', 'শনাক্ত করা', 'অবিচ্ছেদ্যরূপে একাত্ম করা', 'অবিচ্ছেদ্যরূপে অঙ্গীভূত করা']"
26789,"['সনাক্ত', 'শনাক্ত', 'নিশানদিহি', 'সনাক্তকরণ', 'একীভবন', 'অভেদত্ব-প্রতিপাদন', 'অভেদ', 'একাত্মতা', 'ঐকাত্ম্য']"
26790,[]
26791,"['অভিন্নরুপে', 'অবিচ্ছেদ্যরূপে']"
26792,"['অবিকল', '', 'একপ্রকার', 'অভিন্ন', 'একই', 'তাহাই', 'হুবহু', 'একরূপ', 'অনন্য', 'সমান', 'সমভাবাপন্ন', 'সমতুল্য', 'তুল্য', 'অভেদ', 'অবিভিন্ন', 'উপম']"
26793,"['আদর্শভাবে', 'মনে মনে']"
26794,"['মানসসৃষ্টি করা', 'আদর্শরূপে উপস্থাপন করা', 'আদর্শায়িত করা', 'কল্পনা করা', 'আদর্শ করা', 'বাস্তবের সংস্পর্শযুক্ত করা', 'আদর্শ করে তোলা']"
26795,"['আদর্শগত', 'আদর্শপূর্ণ', 'আদর্শধর্মী', 'কল্পনাধর্মী', 'আধ্যাত্মবাদী', 'আদর্শবাদী', 'ভাববাদী', 'আধ্যাত্মিক', 'মায়াবাদী']"
26796,"['আধ্যাত্মবাদী', 'আদর্শবাদী', 'ভাববাদী', 'মায়াবাদী', 'অধ্যাত্মবাদী', 'ভাবুক', 'চিন্তাশীল']"
26797,"['আদর্শবাদিতা', 'ভাবাদর্শ অনুসরণ', 'আদর্শচিন্তা', 'আদর্শধ্যান', 'ভাবাদর্শে বিশ্বাস', 'আদর্শবাদ', 'ভাববাদ', 'অধ্যাত্মবাদ', 'আদর্শপ্রি়তা', 'মায়াবাদ', 'আধ্যাত্মবাদ', 'পূর্ণতার প্রতি ঝোঁক']"
26798,"['কল্পনাসম্ভূত', 'মানসিক', 'কল্পিত', 'শ্রেষ্ঠ', 'চরম', 'লক্ষ্য', 'আদর্শস্বরূপ', 'ধারণাগত', 'কাল্পনিক', 'নিখুঁত', 'ভাবগত', 'পরম', 'অনবদ্য', 'আদর্শ', 'আদর্শ কল্পনা', 'আদর্শ ভাব', 'শ্রেষ্ঠ কল্পনা', 'শ্রেষ্ঠ ভাব', 'পরমাদর্শ', 'পূর্ণতার মান', 'শ্রেষ্ঠ ব্যক্তি', 'শ্রেষ্ঠ বস্তু']"
26799,"['ধারণা', 'চিন্তা', 'ভাব', 'কল্পনা', 'অভিপ্রায়', 'উদ্দেশ্য', 'মত', 'অনুভূতি', 'বিশ্বাস', 'ধৃতি']"
26800,"['অভিজ্ঞান', 'ব্যক্তিত্বের প্রমাণপত্র', 'নিজের প্রমাণপত্র', 'ব্যক্তিগত পরিচয়-নির্দেশক কার্ড', 'ব্যক্তিগত পরিচয়-নির্দেশক চাকতি']"
26801,[]
26802,[]
26803,"['বরফপূর্ণ', 'বরফতুল্য', 'অতি ঠাণ্ডা', 'বরফে তৈয়ারি', 'আদরশূন্য', 'স্নেহশূন্য']"
26804,"['অঙ্কিত প্রতিমূর্তি', 'প্রতিমা', 'বিগ্রহ', 'মূর্তি', 'খোদাই-করা প্রতিমূর্তি', 'অন্যভাবে নির্মিত প্রতিমূর্তি']"
26805,[]
26806,"['ডিম', 'নানা সুগন্ধির মিশ্রণ', 'উড়োজাহাজের ওপর জমা বরফ', 'গ্লেজ', 'মীনা', 'কলাই']"
26807,"['তুষার-শলাকা', 'লম্বমান তুষারকণা']"
26808,[]
26809,[]
26810,['আইস্ হকি']
26811,"['বরফ দিয়া ঢাকা', 'ঠাণ্ডা করা', 'জমাট বাঁধান', 'জমাট করা', 'বরফে পরিণত করা']"
26812,[]
26813,[]
26814,"['হিমসর', 'আইসক্রীম', 'কুলপির বরফ', 'আইস্ক্রীম্', 'মালাই-বরফ']"
26815,"['বরফের ন্যায় ঠাণ্ডা', 'তুষারময়']"
26816,[]
26817,['বরফভাঙ্গা জাহাজ']
26818,['রেফ্রিজারেটর']
